"","X","Title","year","rated","released","runtime","genre","director","awards","imdbrating","boxOffice","key"
"578",628,"The Three Musketeers","1935","APPROVED","01 Nov 1935","96 min","Action, Adventure, Romance","Rowland V. Lee","N/A","5.9","N/A","The Three Musketeers (1935)"
"579",629,"The Three Musketeers","1948","NOT RATED","20 Oct 1948","125 min","Action, Adventure, Drama","George Sidney","N/A","7.2","N/A","The Three Musketeers (1948)"
"580",630,"The Three Musketeers","1973","PG","29 Mar 1974","106 min","Action, Adventure","Richard Lester","Won 1 Golden Globe. Another 3 wins & 7 nominations.","7.3","N/A","The Three Musketeers (1973)"
"581",631,"The Three Musketeers","1993","PG","12 Nov 1993","105 min","Action, Adventure, Comedy","Stephen Herek","2 wins & 3 nominations.","6.4","N/A","The Three Musketeers (1993)"
"582",632,"The Three Musketeers","2011","PG-13","21 Oct 2011","110 min","Action, Adventure, Romance","Paul W.S. Anderson","4 nominations.","5.8","$20,356,913","The Three Musketeers (2011)"
"583",633,"The Time Machine","2002","PG-13","08 Mar 2002","96 min","Action, Adventure, Sci-Fi","Simon Wells","Nominated for 1 Oscar. Another 2 wins & 3 nominations.","5.9","$56,684,819","The Time Machine (2002)"
"584",634,"To Be or Not to Be","1983","PG","16 Dec 1983","107 min","Comedy","Alan Johnson","Nominated for 1 Oscar. Another 5 nominations.","6.8","N/A","To Be or Not to Be (1983)"
"585",635,"To Have and to Hold","1922","N/A","29 Oct 1922","N/A","Romance","George Fitzmaurice","N/A","N/A","N/A","To Have and to Hold (1922)"
"586",636,"Tol'able David","1930","N/A","15 Nov 1930","65 min","Drama","John G. Blystone","1 win.","7.1","N/A","Tol'able David (1930)"
"587",637,"Too Good to Be True","1988","N/A","14 Nov 1988","95 min","Drama, Thriller","Christian I. Nyby II","N/A","5.8","N/A","Too Good to Be True (1988)"
"588",638,"Toolbox Murders","2004","R","09 Sep 2004","95 min","Horror, Mystery, Thriller","Tobe Hooper","1 win & 2 nominations.","5.3","N/A","Toolbox Murders (2004)"
"589",639,"Tortilla Soup","2001","PG-13","31 Aug 2001","102 min","Comedy, Romance, Drama","Maria Ripoll","2 wins & 7 nominations.","6.6","$2,923,596","Tortilla Soup (2001)"
"590",640,"Total Recall","2012","PG-13","03 Aug 2012","118 min","Action, Adventure, Mystery","Len Wiseman","1 win & 5 nominations.","6.3","$58,877,969","Total Recall (2012)"
"591",641,"The Tourist","2010","PG-13","10 Dec 2010","103 min","Action, Crime, Romance","Florian Henckel von Donnersmarck","Nominated for 3 Golden Globes. Another 4 wins & 2 nominations.","6.0","$67,631,157","The Tourist (2010)"
"592",642,"Tower of London","1962","APPROVED","24 Oct 1962","79 min","Drama, History, Horror","Roger Corman","N/A","6.4","N/A","Tower of London (1962)"
"593",643,"The Town That Dreaded Sundown","2014","R","17 Oct 2014","86 min","Horror, Mystery, Thriller","Alfonso Gomez-Rejon","2 wins & 1 nomination.","5.6","N/A","The Town That Dreaded Sundown (2014)"
"594",644,"The Toy","1982","PG","10 Dec 1982","102 min","Comedy","Richard Donner","1 win.","5.8","N/A","The Toy (1982)"
"595",645,"Trader Horn","1973","PG","01 Jun 1973","101 min","Adventure","Reza Badiyi","N/A","4.2","N/A","Trader Horn (1973)"
"596",646,"True Lies","1994","R","15 Jul 1994","141 min","Action, Comedy, Thriller","James Cameron","Nominated for 1 Oscar. Another 7 wins & 19 nominations.","7.2","N/A","True Lies (1994)"
"597",647,"The Truth About Charlie","2002","PG-13","25 Oct 2002","104 min","Mystery, Thriller","Jonathan Demme","2 nominations.","4.8","$5,293,525","The Truth About Charlie (2002)"
"598",648,"Two Much","1996","PG-13","15 Mar 1996","118 min","Comedy, Romance","Fernando Trueba","5 nominations.","5.4","N/A","Two Much (1996)"
"599",649,"Unfaithful","2002","R","10 May 2002","124 min","Drama, Thriller","Adrian Lyne","Nominated for 1 Oscar. Another 3 wins & 14 nominations.","6.7","$52,655,427","Unfaithful (2002)"
"600",650,"Unfaithfully Yours","1984","PG","10 Feb 1984","96 min","Comedy, Music, Romance","Howard Zieff","N/A","6.0","N/A","Unfaithfully Yours (1984)"
"601",651,"Under Suspicion","2000","R","15 Nov 2000","110 min","Crime, Drama, Thriller","Stephen Hopkins","2 nominations.","6.5","N/A","Under Suspicion (2000)"
"602",652,"The Underneath","1995","R","28 Apr 1995","99 min","Crime, Thriller","Steven Soderbergh","1 nomination.","6.2","N/A","The Underneath (1995)"
"603",653,"The Unholy Three","1930","PASSED","12 Jul 1930","72 min","Crime, Drama, Romance","Jack Conway","N/A","6.8","N/A","The Unholy Three (1930)"
"604",654,"The Unknown Soldier","1985","N/A","06 Dec 1985","199 min","Drama, War","Rauni Mollberg","3 wins & 1 nomination.","7.5","N/A","The Unknown Soldier (1985)"
"605",655,"Van Gogh","1948","N/A","01 Sep 1948","20 min","Documentary, Short","Alain Resnais","Won 1 Oscar. Another 1 win.","6.8","N/A","Van Gogh (1948)"
"606",656,"Vanilla Sky","2001","R","14 Dec 2001","136 min","Fantasy, Mystery, Romance","Cameron Crowe","Nominated for 1 Oscar. Another 5 wins & 33 nominations.","6.9","N/A","Vanilla Sky (2001)"
"607",657,"The Vanishing","1993","R","05 Feb 1993","109 min","Drama, Horror, Mystery","George Sluizer","2 nominations.","6.3","N/A","The Vanishing (1993)"
"608",658,"Vanishing Point","1997","N/A","07 Jan 1997","91 min","Action, Adventure, Romance","Charles Robert Carner","1 nomination.","5.7","N/A","Vanishing Point (1997)"
"609",659,"Vanishing Point","1997","N/A","07 Jan 1997","91 min","Action, Adventure, Romance","Charles Robert Carner","1 nomination.","5.7","N/A","Vanishing Point (1997)"
"610",660,"Vicki","1953","APPROVED","05 Oct 1953","85 min","Crime, Drama, Film-Noir","Harry Horner","N/A","6.5","N/A","Vicki (1953)"
"611",661,"First a Girl","1935","NOT RATED","31 Dec 1935","78 min","Comedy, Musical","Victor Saville","N/A","7.1","N/A","First a Girl (1935)"
"612",663,"Victor Victoria","1982","PG","19 Mar 1982","134 min","Comedy, Music, Musical","Blake Edwards","Won 1 Oscar. Another 10 wins & 15 nominations.","7.6","N/A","Victor Victoria (1982)"
"613",664,"Village of the Damned","1995","R","28 Apr 1995","99 min","Horror, Sci-Fi, Thriller","John Carpenter","2 nominations.","5.6","N/A","Village of the Damned (1995)"
"614",665,"Walk Don't Run","1966","APPROVED","29 Jun 1966","114 min","Comedy, Romance","Charles Walters","N/A","6.7","N/A","Walk Don't Run (1966)"
"615",666,"A Walk in the Clouds","1995","PG-13","11 Aug 1995","102 min","Drama, Romance","Alfonso Arau","Won 1 Golden Globe. Another 4 nominations.","6.7","N/A","A Walk in the Clouds (1995)"
"616",667,"Walking Tall","2004","PG-13","02 Apr 2004","86 min","Action, Crime","Kevin Bray","2 nominations.","6.2","$45,860,039","Walking Tall (2004)"
"617",668,"War of the Worlds","2005","PG-13","29 Jun 2005","116 min","Adventure, Sci-Fi, Thriller","Steven Spielberg","Nominated for 3 Oscars. Another 14 wins & 44 nominations.","6.5","$234,141,872","War of the Worlds (2005)"
"618",669,"The Way of All Flesh","1940","APPROVED","05 Jul 1940","86 min","Crime, Drama, Romance","Louis King","N/A","7.9","N/A","The Way of All Flesh (1940)"
"619",670,"Web of the Spider","1971","R","N/A","102 min","Horror","Antonio Margheriti","N/A","5.7","N/A","Web of the Spider (1971)"
"620",671,"We Are Family","2010","N/A","10 Sep 2010","115 min","Drama, Family","Siddharth Malhotra","1 win & 1 nomination.","5.6","$631,276","We Are Family (2010)"
"621",672,"Welcome to Collinwood","2002","R","18 Oct 2002","86 min","Comedy, Crime","Anthony Russo, Joe Russo","1 nomination.","6.4","$75,180","Welcome to Collinwood (2002)"
"622",673,"We're No Angels","1989","PG-13","15 Dec 1989","106 min","Comedy, Crime","Neil Jordan","N/A","6.0","N/A","We're No Angels (1989)"
"623",674,"What a Girl Wants","2003","PG","04 Apr 2003","105 min","Comedy, Drama, Family","Dennie Gordon","1 win.","5.8","$35,990,505","What a Girl Wants (2003)"
"624",675,"What Ever Happened to Baby Jane?","1991","N/A","17 Feb 1991","120 min","Drama, Thriller","David Greene","N/A","6.3","N/A","What Ever Happened to Baby Jane? (1991)"
"625",676,"What Women Want","2011","NOT RATED","03 Feb 2011","116 min","Comedy, Romance, Sci-Fi","Daming Chen","N/A","5.6","$123,325","What Women Want (2011)"
"626",677,"When a Stranger Calls","2006","PG-13","03 Feb 2006","87 min","Horror, Thriller","Simon West","3 nominations.","5.1","$47,860,214","When a Stranger Calls (2006)"
"627",679,"The Wicked Lady","1983","R","28 Oct 1983","98 min","Adventure, Drama","Michael Winner","1 nomination.","4.1","N/A","The Wicked Lady (1983)"
"628",680,"The Wicker Man","2006","PG-13","01 Sep 2006","102 min","Horror, Mystery, Thriller","Neil LaBute","2 wins & 7 nominations.","3.7","N/A","The Wicker Man (2006)"
"629",681,"Wicker Park","2004","PG-13","03 Sep 2004","114 min","Drama, Mystery, Romance","Paul McGuigan","1 nomination.","7.0","$12,831,121","Wicker Park (2004)"
"630",682,"Willard","2003","PG-13","14 Mar 2003","100 min","Drama, Horror, Sci-Fi","Glen Morgan","1 win & 5 nominations.","6.2","$6,779,751","Willard (2003)"
"631",683,"The Witness","2015","N/A","03 Jun 2016","89 min","Documentary, Biography, Crime","James D. Solomon","1 win & 5 nominations.","7.1","N/A","The Witness (2015)"
"632",684,"The Wizard of Gore","2007","R","22 Jun 2007","94 min","Horror, Mystery","Jeremy Kasten","N/A","5.0","N/A","The Wizard of Gore (2007)"
"633",685,"The Wolfman","2010","R","12 Feb 2010","103 min","Drama, Fantasy, Horror","Joe Johnston","Won 1 Oscar. Another 3 wins & 9 nominations.","5.8","$61,937,495","The Wolfman (2010)"
"634",686,"The Woman in Black","2012","PG-13","03 Feb 2012","95 min","Drama, Fantasy, Horror","James Watkins","5 wins & 14 nominations.","6.4","$54,322,273","The Woman in Black (2012)"
"635",687,"The Woman in Red","1984","PG-13","15 Aug 1984","87 min","Comedy, Romance","Gene Wilder","Won 1 Oscar. Another 1 win & 1 nomination.","5.9","N/A","The Woman in Red (1984)"
"636",688,"The Women","2008","PG-13","12 Sep 2008","114 min","Comedy, Drama","Diane English","4 wins & 4 nominations.","4.9","$26,814,683","The Women (2008)"
"637",689,"The Wool Cap","2004","PG-13","21 Nov 2004","103 min","Drama","Steven Schachter","Nominated for 1 Golden Globe. Another 14 nominations.","7.2","N/A","The Wool Cap (2004)"
"638",691,"Yogi","2007","N/A","10 Jan 2007","155 min","Action, Drama","Vinayak V.V.","N/A","4.6","N/A","Yogi (2007)"
"639",692,"Eve Knew Her Apples","1945","N/A","12 Apr 1945","64 min","Musical, Comedy","Will Jason","N/A","5.8","N/A","Eve Knew Her Apples (1945)"
"640",693,"You Can't Run Away from It","1956","N/A","31 Oct 1956","95 min","Comedy, Musical, Romance","Dick Powell","N/A","6.0","N/A","You Can't Run Away from It (1956)"
"641",694,"Young Frankenstein","1974","PG","15 Dec 1974","106 min","Comedy","Mel Brooks","Nominated for 2 Oscars. Another 11 wins & 5 nominations.","8.0","N/A","Young Frankenstein (1974)"
"642",696,"You're Never Too Young","1955","APPROVED","14 Oct 1955","102 min","Comedy","Norman Taurog","N/A","6.7","N/A","You're Never Too Young (1955)"
"643",697,"Pillow Talk","1959","APPROVED","07 Oct 1959","102 min","Comedy, Romance","Michael Gordon","Won 1 Oscar. Another 5 wins & 11 nominations.","7.5","N/A","Pillow Talk (1959)"
"644",698,"You've Got Mail","1998","PG","18 Dec 1998","119 min","Comedy, Drama, Romance","Nora Ephron","Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.","6.6","N/A","You've Got Mail (1998)"
"645",700,"13 Tzameti","2005","NOT RATED","08 Feb 2006","93 min","Crime, Drama, Thriller","Géla Babluani","10 wins & 3 nominations.","7.4","N/A","13 Tzameti (2005)"
"646",701,"13 Tzameti","2005","NOT RATED","08 Feb 2006","93 min","Crime, Drama, Thriller","Géla Babluani","10 wins & 3 nominations.","7.4","N/A","13 Tzameti (2005)"
"647",702,"Le Corbeau","1943","NOT RATED","28 Sep 1943","92 min","Crime, Drama, Mystery","Henri-Georges Clouzot","N/A","7.8","N/A","Le Corbeau (1943)"
"648",704,"Two Thousand Maniacs!","1964","UNRATED","20 Mar 1964","83 min","Horror","Herschell Gordon Lewis","1 nomination.","5.9","N/A","Two Thousand Maniacs! (1964)"
"649",706,"3 Idiots","2009","PG-13","25 Dec 2009","170 min","Comedy, Drama","Rajkumar Hirani","26 wins & 13 nominations.","8.4","$6,500,000","3 Idiots (2009)"
"650",707,"3:10 to Yuma","1957","NOT RATED","01 Sep 1957","92 min","Drama, Thriller, Western","Delmer Daves","Nominated for 1 BAFTA Film Award. Another 1 win & 2 nominations.","7.6","N/A","3:10 to Yuma (1957)"
"651",708,"1984","1956","N/A","01 Sep 1956","90 min","Drama, Sci-Fi","Michael Anderson","N/A","7.0","N/A","1984 (1956)"
"652",709,"The General","1926","UNRATED","24 Feb 1927","67 min","Action, Adventure, Comedy","Clyde Bruckman, Buster Keaton","2 wins & 1 nomination.","8.2","N/A","The General (1926)"
"653",710,"Don Juan","1926","PASSED","19 Feb 1927","110 min","Adventure, Romance","Alan Crosland","N/A","7.1","N/A","Don Juan (1926)"
"654",711,"Love Affair","1939","APPROVED","07 Apr 1939","88 min","Comedy, Drama, Romance","Leo McCarey","N/A","7.4","N/A","Love Affair (1939)"
"655",712,"Out of the Past","1947","NOT RATED","01 Dec 1947","97 min","Crime, Drama, Film-Noir","Jacques Tourneur","1 win.","8.1","N/A","Out of the Past (1947)"
"656",713,"Alfie","1966","APPROVED","24 Aug 1966","114 min","Comedy, Drama","Lewis Gilbert","Nominated for 5 Oscars. Another 7 wins & 17 nominations.","7.1","N/A","Alfie (1966)"
"657",714,"Alfie","1966","APPROVED","24 Aug 1966","114 min","Comedy, Drama","Lewis Gilbert","Nominated for 5 Oscars. Another 7 wins & 17 nominations.","7.1","N/A","Alfie (1966)"
"658",715,"All Quiet on the Western Front","1930","UNRATED","24 Aug 1930","136 min","Drama, War","Lewis Milestone","Won 2 Oscars. Another 5 wins & 2 nominations.","8.1","N/A","All Quiet on the Western Front (1930)"
"659",716,"A Guy Named Joe","1943","PASSED","01 Mar 1944","120 min","Drama, Romance, War","Victor Fleming","N/A","7.0","N/A","A Guy Named Joe (1943)"
"660",717,"The Amityville Horror","1979","R","27 Jul 1979","117 min","Horror","Stuart Rosenberg","Nominated for 1 Oscar. Another 7 nominations.","6.2","N/A","The Amityville Horror (1979)"
"661",718,"The Amityville Horror","1979","R","27 Jul 1979","117 min","Horror","Stuart Rosenberg","Nominated for 1 Oscar. Another 7 nominations.","6.2","N/A","The Amityville Horror (1979)"
"662",719,"And Soon the Darkness","1970","GP","09 Apr 1971","94 min","Horror, Mystery, Thriller","Robert Fuest","N/A","6.7","N/A","And Soon the Darkness (1970)"
"663",720,"Angels in the Outfield","1951","APPROVED","19 Oct 1951","99 min","Comedy, Family, Fantasy","Clarence Brown","1 nomination.","7.1","N/A","Angels in the Outfield (1951)"
"664",721,"Angel on My Shoulder","1946","APPROVED","20 Sep 1946","100 min","Comedy, Fantasy, Romance","Archie Mayo","N/A","6.9","N/A","Angel on My Shoulder (1946)"
"665",722,"Annie","1982","PG","18 Jun 1982","127 min","Comedy, Drama, Family","John Huston","Nominated for 2 Oscars. Another 2 wins & 11 nominations.","6.5","N/A","Annie (1982)"
"666",723,"Thirupaachi","2005","N/A","N/A","N/A","Action, Romance, Thriller","Perarasu","N/A","5.6","N/A","Thirupaachi (2005)"
"667",724,"Duck Soup","1927","N/A","13 Mar 1927","20 min","Comedy, Short","Fred Guiol","N/A","6.7","N/A","Duck Soup (1927)"
"668",725,"Another Part of the Forest","1948","APPROVED","22 Dec 1948","107 min","Drama, Romance","Michael Gordon","2 nominations.","7.4","N/A","Another Part of the Forest (1948)"
"669",726,"Antropophagus","1980","N/A","09 Oct 1981","90 min","Horror","Joe D'Amato","N/A","5.4","N/A","Antropophagus (1980)"
"670",727,"All About Eve","1950","NOT RATED","27 Oct 1950","138 min","Drama","Joseph L. Mankiewicz","Won 6 Oscars. Another 17 wins & 17 nominations.","8.3","N/A","All About Eve (1950)"
"671",728,"April Fool's Day","1986","R","28 Mar 1986","89 min","Horror, Mystery","Fred Walton","N/A","6.2","N/A","April Fool's Day (1986)"
"672",731,"The Arena","1974","R","01 Jan 1974","83 min","Action, Adventure","Steve Carver","N/A","5.5","N/A","The Arena (1974)"
"673",732,"Arthur","1981","PG","17 Jul 1981","97 min","Comedy, Romance","Steve Gordon","Won 2 Oscars. Another 9 wins & 6 nominations.","6.9","N/A","Arthur (1981)"
"674",733,"Assault on Precinct 13","1976","R","05 Nov 1976","91 min","Action, Crime, Thriller","John Carpenter","1 nomination.","7.4","N/A","Assault on Precinct 13 (1976)"
"675",734,"Attack of the 50 Foot Woman","1958","NOT RATED","19 May 1958","65 min","Horror, Sci-Fi","Nathan Juran","N/A","5.0","N/A","Attack of the 50 Foot Woman (1958)"
"676",735,"Seven Chances","1925","PASSED","15 Mar 1925","56 min","Comedy, Romance","Buster Keaton","1 win & 1 nomination.","8.0","N/A","Seven Chances (1925)"
"677",736,"Little Mother","1935","N/A","22 Dec 1935","N/A","Drama","Henry Koster","1 nomination.","7.4","N/A","Little Mother (1935)"
"678",737,"Back Street","1932","N/A","30 Dec 1932","93 min","Drama","John M. Stahl","N/A","7.2","N/A","Back Street (1932)"
"679",738,"The Bad News Bears","1976","PG","07 Apr 1976","102 min","Comedy, Drama, Family","Michael Ritchie","Nominated for 1 BAFTA Film Award. Another 1 win.","7.3","N/A","The Bad News Bears (1976)"
"680",739,"The Ballad of Narayama","1958","N/A","19 Jun 1961","98 min","Drama","Keisuke Kinoshita","6 wins & 1 nomination.","8.0","N/A","The Ballad of Narayama (1958)"
"681",740,"The Bad Seed","1956","APPROVED","12 Sep 1956","129 min","Crime, Drama, Horror","Mervyn LeRoy","Nominated for 4 Oscars. Another 1 win & 1 nomination.","7.5","N/A","The Bad Seed (1956)"
"682",742,"Casablanca","1942","PG","23 Jan 1943","102 min","Drama, Romance, War","Michael Curtiz","Won 3 Oscars. Another 5 wins & 9 nominations.","8.5","N/A","Casablanca (1942)"
"683",744,"The Battle of the Sexes","1914","N/A","12 Apr 1914","50 min","Drama","D.W. Griffith","N/A","6.1","N/A","The Battle of the Sexes (1914)"
"684",745,"Fingers","1978","R","23 Aug 1978","90 min","Crime, Drama, Music","James Toback","N/A","7.0","N/A","Fingers (1978)"
"685",746,"Beau Geste","1926","N/A","25 Aug 1926","101 min","Action, Adventure, Drama","Herbert Brenon","1 win.","7.1","N/A","Beau Geste (1926)"
"686",747,"Beauty and the Beast","1991","G","22 Nov 1991","84 min","Animation, Family, Fantasy","Gary Trousdale, Kirk Wise","Won 2 Oscars. Another 24 wins & 21 nominations.","8.0","$47,611,331","Beauty and the Beast (1991)"
"687",748,"Bedazzled","1967","APPROVED","10 Dec 1967","103 min","Comedy, Fantasy, Romance","Stanley Donen","N/A","7.0","N/A","Bedazzled (1967)"
"688",749,"The Beguiled","1971","R","29 Jan 1971","105 min","Drama, Thriller, War","Don Siegel","N/A","7.2","N/A","The Beguiled (1971)"
"689",751,"Ben-Hur: A Tale of the Christ","1925","NOT RATED","08 Oct 1927","143 min","Adventure, Drama, Romance","Fred Niblo, Charles Brabin, Christy Cabanne, J.J. Cohn, Rex Ingram","1 win.","8.0","N/A","Ben-Hur: A Tale of the Christ (1925)"
"690",753,"Outward Bound","1930","UNRATED","29 Nov 1930","83 min","Drama, Fantasy","Robert Milton, Ray Enright","1 win.","6.7","N/A","Outward Bound (1930)"
"691",755,"Beyond a Reasonable Doubt","1956","NOT RATED","25 Jan 1957","80 min","Crime, Drama, Film-Noir","Fritz Lang","N/A","7.0","N/A","Beyond a Reasonable Doubt (1956)"
"692",756,"House of Strangers","1949","APPROVED","01 Jul 1949","101 min","Crime, Drama, Film-Noir","Joseph L. Mankiewicz","1 win & 1 nomination.","7.4","N/A","House of Strangers (1949)"
"693",757,"The Land Beyond the Law","1927","N/A","05 Jun 1927","70 min","Western","Harry Joe Brown","N/A","N/A","N/A","The Land Beyond the Law (1927)"
"694",758,"Washington Merry-Go-Round","1932","TV-G","15 Oct 1932","79 min","Drama","James Cruze","N/A","6.5","N/A","Washington Merry-Go-Round (1932)"
"695",759,"La Cage aux Folles","1978","R","30 Mar 1979","110 min","Comedy","Édouard Molinaro","Nominated for 3 Oscars. Another 5 wins & 2 nominations.","7.3","N/A","La Cage aux Folles (1978)"
"696",760,"Little Caesar","1931","NOT RATED","25 Jan 1931","79 min","Action, Crime, Drama","Mervyn LeRoy","Nominated for 1 Oscar. Another 1 win.","7.3","N/A","Little Caesar (1931)"
"697",761,"Black Christmas","1974","R","20 Dec 1974","98 min","Horror, Mystery, Thriller","Bob Clark","2 wins & 2 nominations.","7.2","N/A","Black Christmas (1974)"
"698",763,"The Blob","1958","NOT RATED","12 Sep 1958","86 min","Horror, Sci-Fi","Irvin S. Yeaworth Jr., Russell S. Doughten Jr.","1 nomination.","6.4","N/A","The Blob (1958)"
"699",764,"Blood Feast","1963","UNRATED","06 Jul 1963","67 min","Horror","Herschell Gordon Lewis","1 nomination.","5.1","N/A","Blood Feast (1963)"
"700",765,"The Blue Angel","1930","NOT RATED","03 Jan 1931","106 min","Drama, Music","Josef von Sternberg","N/A","7.8","N/A","The Blue Angel (1930)"
"701",766,"The Blue Bird","1918","N/A","31 Mar 1918","75 min","Fantasy","Maurice Tourneur","1 win.","6.9","N/A","The Blue Bird (1918)"
"702",767,"Teacher's Pet","1930","N/A","11 Oct 1930","20 min","Comedy, Family, Short","Robert F. McGowan","N/A","8.2","N/A","Teacher's Pet (1930)"
"703",768,"Born Yesterday","1950","APPROVED","01 Feb 1951","103 min","Comedy, Drama, Romance","George Cukor","Won 1 Oscar. Another 3 wins & 10 nominations.","7.6","N/A","Born Yesterday (1950)"
"704",769,"Boudu Saved from Drowning","1932","NOT RATED","23 Feb 1967","85 min","Comedy","Jean Renoir","N/A","7.5","N/A","Boudu Saved from Drowning (1932)"
"705",770,"The Window","1949","APPROVED","21 Jul 1949","73 min","Drama, Film-Noir, Thriller","Ted Tetzlaff","Nominated for 1 Oscar. Another 1 win & 2 nominations.","7.4","N/A","The Window (1949)"
"706",771,"Breathless","1960","NOT RATED","07 Feb 1961","90 min","Crime, Drama","Jean-Luc Godard","Nominated for 1 BAFTA Film Award. Another 4 wins & 2 nominations.","7.9","$363,030","Breathless (1960)"
"707",772,"Brewster's Millions","1945","APPROVED","07 Apr 1945","79 min","Comedy","Allan Dwan","N/A","6.7","N/A","Brewster's Millions (1945)"
"708",773,"Bride Wars","2009","PG","09 Jan 2009","89 min","Comedy, Romance","Gary Winick","1 win & 8 nominations.","5.5","$58,637,818","Bride Wars (2009)"
"709",774,"Brian's Song","1971","G","30 Nov 1971","73 min","Biography, Drama, Sport","Buzz Kulik","Nominated for 1 Golden Globe. Another 10 wins & 7 nominations.","7.6","N/A","Brian's Song (1971)"
"710",775,"Brian's Song","1971","G","30 Nov 1971","73 min","Biography, Drama, Sport","Buzz Kulik","Nominated for 1 Golden Globe. Another 10 wins & 7 nominations.","7.6","N/A","Brian's Song (1971)"
"711",776,"A Bucket of Blood","1959","APPROVED","21 Oct 1959","66 min","Comedy, Crime, Horror","Roger Corman","N/A","6.8","N/A","A Bucket of Blood (1959)"
"712",778,"The Buccaneer","1938","APPROVED","04 Feb 1938","126 min","Adventure, History","Cecil B. DeMille","N/A","6.7","N/A","The Buccaneer (1938)"
"713",779,"The Burmese Harp","1956","NOT RATED","28 Apr 1967","116 min","Drama, Music, War","Kon Ichikawa","Nominated for 1 Oscar. Another 4 wins & 2 nominations.","8.1","N/A","The Burmese Harp (1956)"
"714",780,"Cabin Fever","2002","R","12 Sep 2003","93 min","Comedy, Horror","Eli Roth","2 wins & 12 nominations.","5.6","$21,113,424","Cabin Fever (2002)"
"715",781,"The Cabinet of Dr. Caligari","1920","UNRATED","19 Mar 1921","67 min","Fantasy, Horror, Mystery","Robert Wiene","1 nomination.","8.1","N/A","The Cabinet of Dr. Caligari (1920)"
"716",782,"Cape Fear","1962","APPROVED","12 Apr 1962","106 min","Drama, Thriller","J. Lee Thompson","N/A","7.8","N/A","Cape Fear (1962)"
"717",783,"The Captain's Table","1959","N/A","20 Mar 1959","90 min","Comedy","Jack Lee","N/A","7.0","N/A","The Captain's Table (1959)"
"718",784,"Carnival of Souls","1962","PG","02 Nov 1962","78 min","Horror, Mystery","Herk Harvey","N/A","7.2","N/A","Carnival of Souls (1962)"
"719",785,"Carrie","1976","R","16 Nov 1976","98 min","Horror","Brian De Palma","Nominated for 2 Oscars. Another 3 wins & 5 nominations.","7.4","N/A","Carrie (1976)"
"720",786,"The Cat and the Canary","1927","UNRATED","09 Sep 1927","108 min","Comedy, Horror, Mystery","Paul Leni","N/A","7.2","N/A","The Cat and the Canary (1927)"
"721",787,"Cat People","1942","NOT RATED","25 Dec 1942","73 min","Fantasy, Horror, Thriller","Jacques Tourneur","1 win & 2 nominations.","7.4","N/A","Cat People (1942)"
"722",788,"Cat People","1942","NOT RATED","25 Dec 1942","73 min","Fantasy, Horror, Thriller","Jacques Tourneur","1 win & 2 nominations.","7.4","N/A","Cat People (1942)"
"723",789,"Liliom","1930","N/A","05 Oct 1930","94 min","Drama","Frank Borzage","N/A","6.7","N/A","Liliom (1930)"
"724",790,"The Champ","1931","PASSED","21 Nov 1931","86 min","Drama, Sport","King Vidor","Won 2 Oscars. Another 3 nominations.","7.3","N/A","The Champ (1931)"
"725",791,"Cheaper by the Dozen","1950","APPROVED","01 Apr 1950","86 min","Comedy, Drama, Family","Walter Lang","N/A","7.1","N/A","Cheaper by the Dozen (1950)"
"726",792,"Love 'Em and Weep","1927","N/A","12 Jun 1927","20 min","Comedy, Short","Fred Guiol, F. Richard Jones","N/A","6.6","N/A","Love 'Em and Weep (1927)"
"727",793,"These Three","1936","PASSED","18 Mar 1936","93 min","Drama, Romance","William Wyler","Nominated for 1 Oscar. Another 1 nomination.","7.6","N/A","These Three (1936)"
"728",794,"Scrooge","1935","APPROVED","30 Nov 1935","78 min","Drama, Family, Fantasy","Henry Edwards","1 win & 1 nomination.","6.6","N/A","Scrooge (1935)"
"729",796,"Cinderella","1950","APPROVED","04 Mar 1950","74 min","Animation, Family, Fantasy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Nominated for 3 Oscars. Another 4 wins & 4 nominations.","7.3","N/A","Cinderella (1950)"
"730",797,"Cinderella","1950","APPROVED","04 Mar 1950","74 min","Animation, Family, Fantasy","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Nominated for 3 Oscars. Another 4 wins & 4 nominations.","7.3","N/A","Cinderella (1950)"
"731",798,"Clash of the Titans","1981","PG","12 Jun 1981","118 min","Action, Adventure, Family","Desmond Davis","2 wins & 6 nominations.","6.9","N/A","Clash of the Titans (1981)"
"732",799,"Classmates","2006","N/A","01 Aug 2006","175 min","Drama, Mystery, Romance","Lal Jose","N/A","8.1","N/A","Classmates (2006)"
"733",800,"High Sierra","1941","PASSED","25 Jan 1941","100 min","Action, Adventure, Crime","Raoul Walsh","3 wins.","7.6","N/A","High Sierra (1941)"
"734",801,"The Computer Wore Tennis Shoes","1969","G","31 Dec 1969","91 min","Comedy, Family, Sci-Fi","Robert Butler","N/A","6.0","N/A","The Computer Wore Tennis Shoes (1969)"
"735",802,"Mazurka","1935","N/A","14 Nov 1935","91 min","Drama","Willi Forst","N/A","7.5","N/A","Mazurka (1935)"
"736",803,"The Grocery Clerk","1919","N/A","01 Dec 1919","27 min","Short, Comedy","Larry Semon","N/A","5.7","N/A","The Grocery Clerk (1919)"
